Id,SalePrice
2658,88533001.60217902
2718,100102283.01725152
2414,105754953.89264284
1989,62438437.095480315
625,86432311.39302513
333,42302760.552958146
1327,64276628.3994413
858,76165015.51640317
95,63681631.96473346
1568,83250688.12258656
2482,68876960.60143547
1364,60021753.65996679
2584,84985552.83128293
818,116821247.56703456
2673,92565570.45686278
2089,65771497.6859599
1297,86881495.64090002
790,71057679.61338778
2616,101687934.70446976
720,112556424.11192253
222,66274071.42202934
557,65559587.00814677
1148,84023001.94317359
2766,112637618.33329684
534,75131455.43816853
1452,57604485.40435278
630,92278376.85105887
2648,79796256.98897307
125,72553739.18943487
1904,33276000.727031842
1670,58587728.10249663
756,60758157.71056119
717,118373972.79628597
1032,83612958.27090499
852,90548656.92246225
1731,87534024.67746097
2639,72559383.82208003
2071,57024412.1361804
1267,55559677.91092924
1851,72672372.89821348
567,51963415.92571067
2439,94138956.18128407
1898,72697359.0255327
647,98156210.61503553
2256,75698742.7513719
979,44032127.27460019
1444,96906765.79886493
2485,64395916.892789885
157,54647572.56819293
88,67870424.74250136
2003,73393090.394172
186,92046095.2383966
1425,89415112.89306413
2695,66032843.04241378
738,57658543.58679025
395,66455558.60393663
1353,88046720.54010412
1878,80015281.75798413
390,83657106.60220304
1456,98724282.54519063
1103,125224058.70755877
1387,93745277.26429717
2070,88712335.42490086
1199,99415329.4772682
2479,75809722.81404275
501,112243324.0996494
2362,60960864.38303613
1718,68864428.56833313
2188,43160865.650449015
1483,51883887.39350495
2557,45807761.44767916
437,165116927.18758774
2224,143683307.62040353
1628,78262653.00410238
397,69610101.04831587
587,123384500.4642596
971,117774124.03189133
2611,78954164.33763239
1887,51422657.33444495
2399,126177705.1580163
2148,80828347.17551054
304,68519577.84193295
1997,56097088.78491544
2817,74373943.79891038
1431,96747668.62897111
427,116904592.76119104
263,60217045.16426595
598,109464025.52053507
2895,117247632.3293382
687,74826629.59260891
1822,65281327.95332714
2191,78961351.82205288
179,62266398.88124176
1009,65423684.90597247
2010,61997975.22107866
1991,82903326.48653044
1411,91721937.50460593
1721,70938945.32038826
1144,83637645.86131212
593,84106144.18112314
575,120493957.26583113
1249,103920947.05237779
1604,60911813.610022075
1064,150342464.02361584
1923,88919485.93601017
1988,43709999.8496668
2325,76026063.99167751
114,127632088.48556434
2700,103207816.6709676
217,102823089.12485819
343,92747346.74174286
386,83380307.5326513
2005,75517028.37887453
2908,94981345.63374195
1814,117681518.26206392
2446,244448553.749657
208,76903231.0356498
1679,48098672.155507006
822,107686986.89010593
6,88699216.03318092
1781,126910816.54776236
2397,101837165.05119805
2340,97548320.18093416
1618,92364537.6701233
2843,84672502.9125574
1061,126611718.44728535
2786,64963326.75402602
1935,69647909.64211781
1341,55724487.59408913
521,97660213.77296476
2136,69269278.61601566
996,87996500.88608786
227,83709970.46424857
135,85250029.69508348
1167,60415883.07996228
294,106930600.49559896
1776,81252737.31509851
540,83191264.1355342
1717,67509739.70174925
2303,72347569.25450407
116,86235764.92402093
127,70195126.7963058
1371,78085020.98113367
1014,153990501.5223041
1507,55705408.847100385
702,85461451.83159292
750,82006970.99610458
261,81762868.08324698
1559,57187187.11489875
577,112367729.45487437
2812,91273625.94966604
2080,89743053.16885722
1368,56411591.06684567
2376,63775216.12086827
659,57627021.17149466
1235,70481069.67132945
332,38820429.07689062
